Project	TCGA-ACC	TCGA-BLCA	TCGA-BRCA	TCGA-CESC	TCGA-CHOL	TCGA-COAD	TCGA-DLBC	TCGA-ESCA	TCGA-GBM	TCGA-HNSC	TCGA-KICH	TCGA-KIRC	TCGA-KIRP	TCGA-LAML	TCGA-LGG	TCGA-LIHC	TCGA-LUAD	TCGA-LUSC	TCGA-MESO	TCGA-OV	TCGA-PAAD	TCGA-PCPG	TCGA-PRAD	TCGA-READ	TCGA-SARC	TCGA-SKCM	TCGA-STAD	TCGA-TGCT	TCGA-THCA	TCGA-THYM	TCGA-UCEC	TCGA-UCS	TCGA-UVM
TCGA-ACC	75	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-BLCA	0	380	0	3	0	0	2	0	0	12	0	0	1	0	0	0	0	6	2	0	0	0	0	1	4	0	0	0	0	0	2	1	0
TCGA-BRCA	0	1	1093	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
TCGA-CESC	0	3	0	279	0	1	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	10	1	0
TCGA-CHOL	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
TCGA-COAD	0	0	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	38	0	0	4	0	0	0	0	0	0
TCGA-DLBC	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-ESCA	0	1	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
TCGA-GBM	0	0	0	0	0	0	0	0	146	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-HNSC	0	3	2	17	0	0	0	0	0	459	0	0	0	0	0	0	0	15	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-KICH	0	0	0	0	0	0	0	0	0	0	59	3	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TCGA-KIRC	0	1	0	0	0	0	0	0	0	0	13	505	16	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-KIRP	0	4	0	0	0	0	0	0	0	0	2	9	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-LAML	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-LGG	0	0	0	0	0	0	0	0	10	0	0	0	0	0	500	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-LIHC	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
TCGA-LUAD	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	514	11	1	0	2	0	0	0	1	0	0	0	0	0	1	1	0
TCGA-LUSC	0	2	1	1	1	0	0	0	0	14	0	0	0	0	0	0	29	453	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
TCGA-MESO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	81	0	0	0	0	0	4	0	0	0	0	0	0	0	0
TCGA-OV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	1	0	0	0	0	0	2	3	0
TCGA-PAAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	1	0	0	1	0	0	0	0	0	0	0	0
TCGA-PCPG	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	175	0	0	0	0	0	0	0	0	0	0	0
TCGA-PRAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	0	0
TCGA-READ	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0
TCGA-SARC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	1	0	0	0	0	4	0
TCGA-SKCM	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99	0	0	0	0	0	0	2
TCGA-STAD	0	0	0	0	0	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	356	0	0	0	0	0	0
TCGA-TGCT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0
